Month,Constabulary,Crime type,Longitude,Latitude,Count
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-3.0533,51.6591,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.9601,51.1561,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6751,51.7882,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6637,51.6406,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6617,51.6432,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6584,51.6404,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6568,51.8116,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.638,51.7371,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6346,51.6851,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6263,51.7885,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6231,51.8076,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6227,51.7963,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6218,51.7945,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.621,51.7933,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6195,51.7928,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6183,51.7941,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6174,51.7926,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6167,51.7938,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6166,51.7948,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6149,51.7922,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6125,51.7948,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6096,51.7835,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6087,51.8069,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6078,51.78,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6068,51.77,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.6064,51.7673,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5813,51.843,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5795,51.7533,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5777,51.8454,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5772,51.7069,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5755,51.7478,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5748,51.7504,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5695,51.7513,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5695,51.8093,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5576,51.7747,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.556,51.7762,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5482,51.8555,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5377,51.756,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5374,51.7237,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5299,51.7261,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5298,51.8547,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5272,51.7268,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.527,51.8507,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5267,51.8492,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5246,51.7426,4
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5242,51.7414,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5194,51.7264,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.518,51.7238,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5163,51.7289,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5156,51.8407,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5125,51.7223,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.512,51.8588,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5119,51.8369,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5087,51.8205,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5078,51.8208,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5056,51.8283,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5054,51.8205,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.505,51.8052,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5037,51.8105,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5031,51.8292,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.5024,51.8169,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4997,51.8242,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4976,51.8245,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4972,51.8238,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4928,51.8236,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4885,51.8606,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4885,51.8652,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4884,51.8536,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4869,51.8634,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4856,51.8644,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4822,51.7606,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.481,51.8204,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.479,51.9625,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4738,51.8117,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4717,51.7765,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4603,51.6914,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4578,51.8652,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4558,51.8674,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4554,52.3408,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4399,51.9776,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4082,51.9337,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4074,51.9327,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4048,51.9303,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.403,51.9311,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.4001,51.9288,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3906,51.8222,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.374,51.696,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3722,51.9591,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3638,51.6274,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3627,51.7139,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3626,51.691,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3626,51.6967,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3615,51.6882,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3615,51.7007,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3596,51.6841,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3567,51.6858,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3546,51.6819,5
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3529,51.7022,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3527,51.6366,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3522,51.6821,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3516,51.6377,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3509,51.6406,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3481,51.6381,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3469,51.6767,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3467,51.6314,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3442,51.6372,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3429,51.6343,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3257,51.8525,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3103,51.6817,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.3092,51.792,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2932,51.8152,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2921,51.7558,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2891,51.8301,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2888,51.8145,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2874,51.8305,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2864,51.8235,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2862,51.7315,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2846,51.8186,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.284,51.7303,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2839,51.7469,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2829,51.8248,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2823,51.7523,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2816,51.7493,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2815,51.8166,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2813,51.8269,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2811,51.8218,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2799,51.8187,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2785,51.747,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2768,51.835,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2745,51.8042,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2738,51.8052,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2738,51.8929,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.273,51.8341,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2712,51.8314,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2702,51.829,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2702,51.8757,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2696,51.7899,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2692,51.825,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.269,51.8081,4
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2688,51.8284,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2686,51.8519,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2675,51.8062,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2669,51.82,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2668,51.7414,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2661,51.8282,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2648,51.8434,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2643,51.8219,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2634,51.817,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2631,51.8232,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2628,51.855,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2624,51.8163,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2621,51.8331,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.262,51.8363,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2618,51.8223,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2601,51.8192,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2597,51.8412,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2596,51.8584,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2595,51.8387,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.258,51.8424,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.258,51.8439,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2574,51.8586,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2571,51.8706,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2565,51.7415,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2565,51.8533,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2558,51.7461,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2554,51.826,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2554,51.8493,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.255,51.8298,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2545,51.8345,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2541,51.8582,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2539,51.7402,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2531,51.8447,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.253,51.8372,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2525,51.8681,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2522,51.965,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2521,51.8616,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2517,51.8605,1
