Constabulary,Crime type,Longitude,Latitude,Count
Cleveland Police,Anti-social behaviour,-1.4275,54.6035,2
Cleveland Police,Anti-social behaviour,-1.4232,54.6057,1
Cleveland Police,Anti-social behaviour,-1.4208,54.6027,1
Cleveland Police,Anti-social behaviour,-1.4203,54.6035,1
Cleveland Police,Anti-social behaviour,-1.4193,54.6062,3
Cleveland Police,Anti-social behaviour,-1.417,54.6061,6
Cleveland Police,Anti-social behaviour,-1.4161,54.6054,1
Cleveland Police,Anti-social behaviour,-1.4152,54.6059,1
Cleveland Police,Anti-social behaviour,-1.4058,54.5422,1
Cleveland Police,Anti-social behaviour,-1.3997,54.6272,1
Cleveland Police,Anti-social behaviour,-1.3992,54.5844,1
Cleveland Police,Anti-social behaviour,-1.3959,54.5894,1
Cleveland Police,Anti-social behaviour,-1.3945,54.5899,1
Cleveland Police,Anti-social behaviour,-1.3933,54.5879,1
Cleveland Police,Anti-social behaviour,-1.3931,54.5899,1
Cleveland Police,Anti-social behaviour,-1.3887,54.5915,2
Cleveland Police,Anti-social behaviour,-1.3826,54.6062,1
Cleveland Police,Anti-social behaviour,-1.3812,54.604,1
Cleveland Police,Anti-social behaviour,-1.3798,54.6046,1
Cleveland Police,Anti-social behaviour,-1.378,54.6046,1
Cleveland Police,Anti-social behaviour,-1.3775,54.6035,1
Cleveland Police,Anti-social behaviour,-1.3758,54.5497,3
Cleveland Police,Anti-social behaviour,-1.3746,54.5894,5
Cleveland Police,Anti-social behaviour,-1.3713,54.5237,2
Cleveland Police,Anti-social behaviour,-1.3712,54.5713,16
Cleveland Police,Anti-social behaviour,-1.3711,54.5681,4
Cleveland Police,Anti-social behaviour,-1.3707,54.5224,1
Cleveland Police,Anti-social behaviour,-1.3685,54.572,1
Cleveland Police,Anti-social behaviour,-1.3681,54.5236,1
Cleveland Police,Anti-social behaviour,-1.3679,54.5669,1
Cleveland Police,Anti-social behaviour,-1.3678,54.4877,1
Cleveland Police,Anti-social behaviour,-1.3676,54.5691,2
Cleveland Police,Anti-social behaviour,-1.3674,54.5641,1
Cleveland Police,Anti-social behaviour,-1.3673,54.5724,1
Cleveland Police,Anti-social behaviour,-1.3667,54.4937,3
Cleveland Police,Anti-social behaviour,-1.3656,54.5201,2
Cleveland Police,Anti-social behaviour,-1.365,54.4939,2
Cleveland Police,Anti-social behaviour,-1.365,54.5668,1
Cleveland Police,Anti-social behaviour,-1.3648,54.5744,2
Cleveland Police,Anti-social behaviour,-1.3643,54.4949,1
Cleveland Police,Anti-social behaviour,-1.3643,54.5638,1
Cleveland Police,Anti-social behaviour,-1.3641,54.6389,1
Cleveland Police,Anti-social behaviour,-1.3639,54.5718,1
Cleveland Police,Anti-social behaviour,-1.3638,54.5729,1
Cleveland Police,Anti-social behaviour,-1.3637,54.5752,1
Cleveland Police,Anti-social behaviour,-1.3637,54.5759,1
Cleveland Police,Anti-social behaviour,-1.3635,54.5599,1
Cleveland Police,Anti-social behaviour,-1.3635,54.5704,1
Cleveland Police,Anti-social behaviour,-1.3634,54.4977,1
Cleveland Police,Anti-social behaviour,-1.3633,54.6436,1
Cleveland Police,Anti-social behaviour,-1.3632,54.5805,4
Cleveland Police,Anti-social behaviour,-1.3631,54.5685,1
Cleveland Police,Anti-social behaviour,-1.3625,54.5569,3
Cleveland Police,Anti-social behaviour,-1.3625,54.5816,1
Cleveland Police,Anti-social behaviour,-1.3624,54.5676,1
Cleveland Police,Anti-social behaviour,-1.3624,54.578,2
Cleveland Police,Anti-social behaviour,-1.3623,54.5212,1
Cleveland Police,Anti-social behaviour,-1.3623,54.568,2
Cleveland Police,Anti-social behaviour,-1.3623,54.5801,1
Cleveland Police,Anti-social behaviour,-1.3618,54.5248,2
Cleveland Police,Anti-social behaviour,-1.3618,54.5679,1
Cleveland Police,Anti-social behaviour,-1.3618,54.5845,2
Cleveland Police,Anti-social behaviour,-1.3617,54.5686,1
Cleveland Police,Anti-social behaviour,-1.3617,54.5851,8
Cleveland Police,Anti-social behaviour,-1.3616,54.5632,2
Cleveland Police,Anti-social behaviour,-1.3615,54.5142,1
Cleveland Police,Anti-social behaviour,-1.3615,54.569,3
Cleveland Police,Anti-social behaviour,-1.3614,54.5839,2
Cleveland Police,Anti-social behaviour,-1.3613,54.5202,1
Cleveland Police,Anti-social behaviour,-1.3613,54.5268,3
Cleveland Police,Anti-social behaviour,-1.3613,54.566,12
Cleveland Police,Anti-social behaviour,-1.3613,54.5825,1
Cleveland Police,Anti-social behaviour,-1.3612,54.5282,2
Cleveland Police,Anti-social behaviour,-1.3611,54.576,1
Cleveland Police,Anti-social behaviour,-1.361,54.526,1
Cleveland Police,Anti-social behaviour,-1.361,54.5703,3
Cleveland Police,Anti-social behaviour,-1.3608,54.5686,1
Cleveland Police,Anti-social behaviour,-1.3607,54.5537,1
Cleveland Police,Anti-social behaviour,-1.3606,54.5184,1
Cleveland Police,Anti-social behaviour,-1.3605,54.5799,1
Cleveland Police,Anti-social behaviour,-1.3604,54.578,4
Cleveland Police,Anti-social behaviour,-1.3603,54.5759,1
Cleveland Police,Anti-social behaviour,-1.3602,54.5678,4
Cleveland Police,Anti-social behaviour,-1.3602,54.5769,18
Cleveland Police,Anti-social behaviour,-1.3602,54.587,1
Cleveland Police,Anti-social behaviour,-1.3601,54.514,1
Cleveland Police,Anti-social behaviour,-1.36,54.496,4
Cleveland Police,Anti-social behaviour,-1.36,54.498,2
Cleveland Police,Anti-social behaviour,-1.36,54.5016,9
Cleveland Police,Anti-social behaviour,-1.3598,54.5237,1
Cleveland Police,Anti-social behaviour,-1.3598,54.5899,1
Cleveland Police,Anti-social behaviour,-1.3597,54.4931,1
Cleveland Police,Anti-social behaviour,-1.3596,54.5797,7
Cleveland Police,Anti-social behaviour,-1.3595,54.4908,2
Cleveland Police,Anti-social behaviour,-1.3595,54.4994,9
Cleveland Police,Anti-social behaviour,-1.3593,54.5719,2
Cleveland Police,Anti-social behaviour,-1.3592,54.4957,2
Cleveland Police,Anti-social behaviour,-1.3592,54.5843,7
Cleveland Police,Anti-social behaviour,-1.3591,54.5613,1
Cleveland Police,Anti-social behaviour,-1.359,54.5002,1
