Constabulary,Crime type,Longitude,Latitude,Count
Derbyshire Constabulary,Anti-social behaviour,-2.0753,51.887,1
Derbyshire Constabulary,Anti-social behaviour,-2.0225,53.3685,3
Derbyshire Constabulary,Anti-social behaviour,-2.0189,53.4456,1
Derbyshire Constabulary,Anti-social behaviour,-2.0171,53.3668,2
Derbyshire Constabulary,Anti-social behaviour,-2.0107,53.3888,1
Derbyshire Constabulary,Anti-social behaviour,-2.0075,53.36,1
Derbyshire Constabulary,Anti-social behaviour,-2.0065,53.3605,1
Derbyshire Constabulary,Anti-social behaviour,-2.0065,53.3682,1
Derbyshire Constabulary,Anti-social behaviour,-2.0065,53.4221,1
Derbyshire Constabulary,Anti-social behaviour,-2.0052,53.3582,1
Derbyshire Constabulary,Anti-social behaviour,-2.0041,53.3637,3
Derbyshire Constabulary,Anti-social behaviour,-2.0037,53.3626,2
Derbyshire Constabulary,Anti-social behaviour,-2.0036,53.3749,2
Derbyshire Constabulary,Anti-social behaviour,-2.0034,53.3616,1
Derbyshire Constabulary,Anti-social behaviour,-2.0026,53.363,1
Derbyshire Constabulary,Anti-social behaviour,-2.0018,53.3668,1
Derbyshire Constabulary,Anti-social behaviour,-2.0017,53.3654,6
Derbyshire Constabulary,Anti-social behaviour,-2.0012,53.3663,1
Derbyshire Constabulary,Anti-social behaviour,-2.001,53.3634,2
Derbyshire Constabulary,Anti-social behaviour,-2.001,53.3664,3
Derbyshire Constabulary,Anti-social behaviour,-2.0009,53.3681,4
Derbyshire Constabulary,Anti-social behaviour,-2.0005,53.3684,2
Derbyshire Constabulary,Anti-social behaviour,-2.0004,53.3659,1
Derbyshire Constabulary,Anti-social behaviour,-1.9988,53.2823,2
Derbyshire Constabulary,Anti-social behaviour,-1.9978,53.3726,3
Derbyshire Constabulary,Anti-social behaviour,-1.9978,53.3741,2
Derbyshire Constabulary,Anti-social behaviour,-1.997,53.3653,1
Derbyshire Constabulary,Anti-social behaviour,-1.9967,53.3625,1
Derbyshire Constabulary,Anti-social behaviour,-1.996,53.388,1
Derbyshire Constabulary,Anti-social behaviour,-1.9957,53.3638,1
Derbyshire Constabulary,Anti-social behaviour,-1.9949,53.3632,4
Derbyshire Constabulary,Anti-social behaviour,-1.9946,53.3196,2
Derbyshire Constabulary,Anti-social behaviour,-1.9941,53.3221,2
Derbyshire Constabulary,Anti-social behaviour,-1.994,53.3617,2
Derbyshire Constabulary,Anti-social behaviour,-1.9938,53.323,1
Derbyshire Constabulary,Anti-social behaviour,-1.9937,53.3626,1
Derbyshire Constabulary,Anti-social behaviour,-1.9934,53.4339,1
Derbyshire Constabulary,Anti-social behaviour,-1.9931,53.3664,4
Derbyshire Constabulary,Anti-social behaviour,-1.9927,53.3703,4
Derbyshire Constabulary,Anti-social behaviour,-1.9921,53.4345,1
Derbyshire Constabulary,Anti-social behaviour,-1.9918,53.3686,3
Derbyshire Constabulary,Anti-social behaviour,-1.9916,53.3274,1
Derbyshire Constabulary,Anti-social behaviour,-1.991,53.369,1
Derbyshire Constabulary,Anti-social behaviour,-1.9909,53.3491,1
Derbyshire Constabulary,Anti-social behaviour,-1.9908,53.3715,1
Derbyshire Constabulary,Anti-social behaviour,-1.9908,53.4462,1
Derbyshire Constabulary,Anti-social behaviour,-1.9906,53.3712,3
Derbyshire Constabulary,Anti-social behaviour,-1.9903,53.3658,1
Derbyshire Constabulary,Anti-social behaviour,-1.9901,53.4451,1
Derbyshire Constabulary,Anti-social behaviour,-1.9895,53.367,1
Derbyshire Constabulary,Anti-social behaviour,-1.9894,53.3678,1
Derbyshire Constabulary,Anti-social behaviour,-1.9894,53.4473,1
Derbyshire Constabulary,Anti-social behaviour,-1.9891,53.3684,2
Derbyshire Constabulary,Anti-social behaviour,-1.989,53.369,5
Derbyshire Constabulary,Anti-social behaviour,-1.9889,53.3473,3
Derbyshire Constabulary,Anti-social behaviour,-1.9885,53.3486,3
Derbyshire Constabulary,Anti-social behaviour,-1.9884,53.332,2
Derbyshire Constabulary,Anti-social behaviour,-1.9884,53.3681,1
Derbyshire Constabulary,Anti-social behaviour,-1.9884,53.3745,2
Derbyshire Constabulary,Anti-social behaviour,-1.9884,53.4473,2
Derbyshire Constabulary,Anti-social behaviour,-1.9883,53.3739,1
Derbyshire Constabulary,Anti-social behaviour,-1.9881,53.4406,2
Derbyshire Constabulary,Anti-social behaviour,-1.9881,53.4451,12
Derbyshire Constabulary,Anti-social behaviour,-1.9879,53.3239,1
Derbyshire Constabulary,Anti-social behaviour,-1.9878,53.3729,2
Derbyshire Constabulary,Anti-social behaviour,-1.9873,53.4493,1
Derbyshire Constabulary,Anti-social behaviour,-1.9868,53.3743,1
Derbyshire Constabulary,Anti-social behaviour,-1.9868,53.4481,1
Derbyshire Constabulary,Anti-social behaviour,-1.9865,53.4505,1
Derbyshire Constabulary,Anti-social behaviour,-1.9864,53.449,2
Derbyshire Constabulary,Anti-social behaviour,-1.9863,53.3185,1
Derbyshire Constabulary,Anti-social behaviour,-1.9861,53.332,1
Derbyshire Constabulary,Anti-social behaviour,-1.986,53.3223,2
Derbyshire Constabulary,Anti-social behaviour,-1.9859,53.4505,1
Derbyshire Constabulary,Anti-social behaviour,-1.9859,53.4597,8
Derbyshire Constabulary,Anti-social behaviour,-1.9856,53.4544,2
Derbyshire Constabulary,Anti-social behaviour,-1.9855,53.4495,5
Derbyshire Constabulary,Anti-social behaviour,-1.9854,53.4372,1
Derbyshire Constabulary,Anti-social behaviour,-1.9853,53.3179,2
Derbyshire Constabulary,Anti-social behaviour,-1.9852,53.4478,10
Derbyshire Constabulary,Anti-social behaviour,-1.9851,53.328,2
Derbyshire Constabulary,Anti-social behaviour,-1.9848,53.3263,1
Derbyshire Constabulary,Anti-social behaviour,-1.9845,53.3302,2
Derbyshire Constabulary,Anti-social behaviour,-1.9845,53.4486,4
Derbyshire Constabulary,Anti-social behaviour,-1.9844,53.3793,1
Derbyshire Constabulary,Anti-social behaviour,-1.9843,53.3301,1
Derbyshire Constabulary,Anti-social behaviour,-1.984,53.4601,6
Derbyshire Constabulary,Anti-social behaviour,-1.9837,53.4475,2
Derbyshire Constabulary,Anti-social behaviour,-1.9837,53.4551,2
Derbyshire Constabulary,Anti-social behaviour,-1.9835,53.3259,2
Derbyshire Constabulary,Anti-social behaviour,-1.9835,53.3286,3
Derbyshire Constabulary,Anti-social behaviour,-1.9835,53.4501,3
Derbyshire Constabulary,Anti-social behaviour,-1.9835,53.4702,1
Derbyshire Constabulary,Anti-social behaviour,-1.9832,53.2704,6
Derbyshire Constabulary,Anti-social behaviour,-1.9829,53.446,1
Derbyshire Constabulary,Anti-social behaviour,-1.9829,53.4556,1
Derbyshire Constabulary,Anti-social behaviour,-1.9828,53.3316,1
Derbyshire Constabulary,Anti-social behaviour,-1.9824,53.2789,3
Derbyshire Constabulary,Anti-social behaviour,-1.9822,53.4468,1
Derbyshire Constabulary,Anti-social behaviour,-1.982,53.4609,3
Derbyshire Constabulary,Anti-social behaviour,-1.9818,53.4575,2
Derbyshire Constabulary,Anti-social behaviour,-1.9808,53.4484,4
Derbyshire Constabulary,Anti-social behaviour,-1.9807,53.4476,1
Derbyshire Constabulary,Anti-social behaviour,-1.9807,53.4508,3
Derbyshire Constabulary,Anti-social behaviour,-1.9807,53.4615,2
Derbyshire Constabulary,Anti-social behaviour,-1.9805,53.3224,1
Derbyshire Constabulary,Anti-social behaviour,-1.9805,53.4454,2
Derbyshire Constabulary,Anti-social behaviour,-1.9804,53.3798,1
Derbyshire Constabulary,Anti-social behaviour,-1.9798,53.4613,2
Derbyshire Constabulary,Anti-social behaviour,-1.9796,53.4687,1
Derbyshire Constabulary,Anti-social behaviour,-1.9788,53.3634,1
Derbyshire Constabulary,Anti-social behaviour,-1.9781,53.3206,1
Derbyshire Constabulary,Anti-social behaviour,-1.9773,53.4725,2
Derbyshire Constabulary,Anti-social behaviour,-1.976,53.3042,1
Derbyshire Constabulary,Anti-social behaviour,-1.976,53.4696,1
Derbyshire Constabulary,Anti-social behaviour,-1.9756,53.4536,1
Derbyshire Constabulary,Anti-social behaviour,-1.9754,53.4523,1
Derbyshire Constabulary,Anti-social behaviour,-1.9751,53.4416,1
Derbyshire Constabulary,Anti-social behaviour,-1.9751,53.4473,1
Derbyshire Constabulary,Anti-social behaviour,-1.9751,53.4593,1
Derbyshire Constabulary,Anti-social behaviour,-1.975,53.4383,1
Derbyshire Constabulary,Anti-social behaviour,-1.975,53.4698,3
Derbyshire Constabulary,Anti-social behaviour,-1.9747,53.4713,1
Derbyshire Constabulary,Anti-social behaviour,-1.9741,53.2412,1
Derbyshire Constabulary,Anti-social behaviour,-1.9739,53.4625,1
Derbyshire Constabulary,Anti-social behaviour,-1.9738,53.4529,2
Derbyshire Constabulary,Anti-social behaviour,-1.9733,53.4578,4
Derbyshire Constabulary,Anti-social behaviour,-1.9731,53.4588,1
Derbyshire Constabulary,Anti-social behaviour,-1.9727,53.4528,1
Derbyshire Constabulary,Anti-social behaviour,-1.9724,53.3789,1
Derbyshire Constabulary,Anti-social behaviour,-1.9724,53.4467,2
Derbyshire Constabulary,Anti-social behaviour,-1.9723,53.4614,7
Derbyshire Constabulary,Anti-social behaviour,-1.9719,53.4402,1
Derbyshire Constabulary,Anti-social behaviour,-1.9717,53.4718,1
Derbyshire Constabulary,Anti-social behaviour,-1.9714,53.4707,2
Derbyshire Constabulary,Anti-social behaviour,-1.9712,53.3339,1
Derbyshire Constabulary,Anti-social behaviour,-1.9712,53.4582,4
Derbyshire Constabulary,Anti-social behaviour,-1.9712,53.4702,1
Derbyshire Constabulary,Anti-social behaviour,-1.971,53.4625,4
Derbyshire Constabulary,Anti-social behaviour,-1.9709,53.4635,1
Derbyshire Constabulary,Anti-social behaviour,-1.9706,53.472,2
Derbyshire Constabulary,Anti-social behaviour,-1.9705,53.4402,1
Derbyshire Constabulary,Anti-social behaviour,-1.9704,53.4658,2
Derbyshire Constabulary,Anti-social behaviour,-1.9701,53.4645,12
Derbyshire Constabulary,Anti-social behaviour,-1.97,53.442,1
Derbyshire Constabulary,Anti-social behaviour,-1.97,53.465,1
Derbyshire Constabulary,Anti-social behaviour,-1.9697,53.46,1
Derbyshire Constabulary,Anti-social behaviour,-1.9697,53.4638,3
Derbyshire Constabulary,Anti-social behaviour,-1.9687,53.4464,3
Derbyshire Constabulary,Anti-social behaviour,-1.9683,53.3351,1
Derbyshire Constabulary,Anti-social behaviour,-1.9682,53.4631,1
Derbyshire Constabulary,Anti-social behaviour,-1.9682,53.468,11
Derbyshire Constabulary,Anti-social behaviour,-1.9672,53.4426,1
Derbyshire Constabulary,Anti-social behaviour,-1.9671,53.4366,1
