Constabulary,Crime type,Longitude,Latitude,Count
Devon & Cornwall Police,Anti-social behaviour,-6.3182,49.9141,2
Devon & Cornwall Police,Anti-social behaviour,-6.3181,49.9156,2
Devon & Cornwall Police,Anti-social behaviour,-6.3169,49.9151,2
Devon & Cornwall Police,Anti-social behaviour,-6.3157,49.9144,1
Devon & Cornwall Police,Anti-social behaviour,-6.3151,49.9141,1
Devon & Cornwall Police,Anti-social behaviour,-6.3087,49.9139,1
Devon & Cornwall Police,Anti-social behaviour,-6.2986,49.9134,1
Devon & Cornwall Police,Anti-social behaviour,-6.2827,49.9221,1
Devon & Cornwall Police,Anti-social behaviour,-5.6958,50.0704,1
Devon & Cornwall Police,Anti-social behaviour,-5.6898,50.1255,1
Devon & Cornwall Police,Anti-social behaviour,-5.6889,50.0755,1
Devon & Cornwall Police,Anti-social behaviour,-5.6881,50.1241,1
Devon & Cornwall Police,Anti-social behaviour,-5.6862,50.0766,1
Devon & Cornwall Police,Anti-social behaviour,-5.686,50.0887,1
Devon & Cornwall Police,Anti-social behaviour,-5.6859,50.1375,1
Devon & Cornwall Police,Anti-social behaviour,-5.6853,50.1243,2
Devon & Cornwall Police,Anti-social behaviour,-5.6844,50.1238,4
Devon & Cornwall Police,Anti-social behaviour,-5.6841,50.0795,1
Devon & Cornwall Police,Anti-social behaviour,-5.6841,50.1257,1
Devon & Cornwall Police,Anti-social behaviour,-5.6837,50.1231,1
Devon & Cornwall Police,Anti-social behaviour,-5.6834,50.1225,1
Devon & Cornwall Police,Anti-social behaviour,-5.683,50.1229,9
Devon & Cornwall Police,Anti-social behaviour,-5.6827,50.124,2
Devon & Cornwall Police,Anti-social behaviour,-5.6816,50.1246,1
Devon & Cornwall Police,Anti-social behaviour,-5.6811,50.12,1
Devon & Cornwall Police,Anti-social behaviour,-5.681,50.1251,1
Devon & Cornwall Police,Anti-social behaviour,-5.6805,50.1241,1
Devon & Cornwall Police,Anti-social behaviour,-5.6804,50.1248,1
Devon & Cornwall Police,Anti-social behaviour,-5.6801,50.1254,1
Devon & Cornwall Police,Anti-social behaviour,-5.6799,50.1245,3
Devon & Cornwall Police,Anti-social behaviour,-5.6797,50.1233,3
Devon & Cornwall Police,Anti-social behaviour,-5.6792,50.1216,1
Devon & Cornwall Police,Anti-social behaviour,-5.6777,50.1224,2
Devon & Cornwall Police,Anti-social behaviour,-5.6728,50.1458,3
Devon & Cornwall Police,Anti-social behaviour,-5.6726,50.1473,1
Devon & Cornwall Police,Anti-social behaviour,-5.6722,50.1458,2
Devon & Cornwall Police,Anti-social behaviour,-5.6714,50.1458,1
Devon & Cornwall Police,Anti-social behaviour,-5.6712,50.1543,6
Devon & Cornwall Police,Anti-social behaviour,-5.6697,50.1532,3
Devon & Cornwall Police,Anti-social behaviour,-5.662,50.0555,1
Devon & Cornwall Police,Anti-social behaviour,-5.6619,50.1516,1
Devon & Cornwall Police,Anti-social behaviour,-5.6594,50.1531,1
Devon & Cornwall Police,Anti-social behaviour,-5.6583,50.1172,1
Devon & Cornwall Police,Anti-social behaviour,-5.658,50.1322,1
Devon & Cornwall Police,Anti-social behaviour,-5.6552,50.0421,1
Devon & Cornwall Police,Anti-social behaviour,-5.648,50.1015,1
Devon & Cornwall Police,Anti-social behaviour,-5.6386,50.0532,1
Devon & Cornwall Police,Anti-social behaviour,-5.6374,50.058,1
Devon & Cornwall Police,Anti-social behaviour,-5.6281,50.1271,1
Devon & Cornwall Police,Anti-social behaviour,-5.6246,50.1407,1
Devon & Cornwall Police,Anti-social behaviour,-5.6241,50.0753,1
Devon & Cornwall Police,Anti-social behaviour,-5.6217,50.0732,1
Devon & Cornwall Police,Anti-social behaviour,-5.6076,50.0841,1
Devon & Cornwall Police,Anti-social behaviour,-5.5823,50.1024,1
Devon & Cornwall Police,Anti-social behaviour,-5.5806,50.1678,5
Devon & Cornwall Police,Anti-social behaviour,-5.5722,50.1161,2
Devon & Cornwall Police,Anti-social behaviour,-5.5682,50.1912,1
Devon & Cornwall Police,Anti-social behaviour,-5.5673,50.127,3
Devon & Cornwall Police,Anti-social behaviour,-5.5659,50.1336,3
Devon & Cornwall Police,Anti-social behaviour,-5.5655,50.1133,2
Devon & Cornwall Police,Anti-social behaviour,-5.5651,50.1347,1
Devon & Cornwall Police,Anti-social behaviour,-5.5644,50.1342,1
Devon & Cornwall Police,Anti-social behaviour,-5.5626,50.1496,1
Devon & Cornwall Police,Anti-social behaviour,-5.5593,50.109,1
Devon & Cornwall Police,Anti-social behaviour,-5.5583,50.109,1
Devon & Cornwall Police,Anti-social behaviour,-5.5582,50.0873,1
Devon & Cornwall Police,Anti-social behaviour,-5.5578,50.1098,1
Devon & Cornwall Police,Anti-social behaviour,-5.5573,50.1232,2
Devon & Cornwall Police,Anti-social behaviour,-5.5564,50.1242,7
Devon & Cornwall Police,Anti-social behaviour,-5.556,50.0993,7
Devon & Cornwall Police,Anti-social behaviour,-5.5547,50.1159,6
Devon & Cornwall Police,Anti-social behaviour,-5.5547,50.1246,4
Devon & Cornwall Police,Anti-social behaviour,-5.5544,50.1005,1
Devon & Cornwall Police,Anti-social behaviour,-5.5542,50.1149,1
Devon & Cornwall Police,Anti-social behaviour,-5.554,50.1252,1
Devon & Cornwall Police,Anti-social behaviour,-5.5539,50.1465,4
Devon & Cornwall Police,Anti-social behaviour,-5.5535,50.1132,1
Devon & Cornwall Police,Anti-social behaviour,-5.5531,50.1019,1
Devon & Cornwall Police,Anti-social behaviour,-5.5527,50.1271,2
Devon & Cornwall Police,Anti-social behaviour,-5.5527,50.1285,1
Devon & Cornwall Police,Anti-social behaviour,-5.5525,50.1165,5
Devon & Cornwall Police,Anti-social behaviour,-5.5521,50.1122,1
Devon & Cornwall Police,Anti-social behaviour,-5.5518,50.1152,5
Devon & Cornwall Police,Anti-social behaviour,-5.5515,50.117,2
Devon & Cornwall Police,Anti-social behaviour,-5.5513,50.1255,1
Devon & Cornwall Police,Anti-social behaviour,-5.5512,50.0995,1
Devon & Cornwall Police,Anti-social behaviour,-5.5512,50.1281,1
Devon & Cornwall Police,Anti-social behaviour,-5.5509,50.1036,1
Devon & Cornwall Police,Anti-social behaviour,-5.5509,50.1277,3
Devon & Cornwall Police,Anti-social behaviour,-5.5506,50.1256,3
Devon & Cornwall Police,Anti-social behaviour,-5.5506,50.1273,1
Devon & Cornwall Police,Anti-social behaviour,-5.5505,50.1065,4
Devon & Cornwall Police,Anti-social behaviour,-5.5502,50.0988,1
Devon & Cornwall Police,Anti-social behaviour,-5.5501,50.1231,1
Devon & Cornwall Police,Anti-social behaviour,-5.55,50.0984,3
Devon & Cornwall Police,Anti-social behaviour,-5.5498,50.1047,2
Devon & Cornwall Police,Anti-social behaviour,-5.5498,50.1057,2
Devon & Cornwall Police,Anti-social behaviour,-5.5498,50.1269,1
Devon & Cornwall Police,Anti-social behaviour,-5.5496,50.1061,1
Devon & Cornwall Police,Anti-social behaviour,-5.5495,50.1024,1
Devon & Cornwall Police,Anti-social behaviour,-5.5495,50.1262,5
Devon & Cornwall Police,Anti-social behaviour,-5.5492,50.1089,1
Devon & Cornwall Police,Anti-social behaviour,-5.5485,50.1141,2
Devon & Cornwall Police,Anti-social behaviour,-5.548,50.1168,7
Devon & Cornwall Police,Anti-social behaviour,-5.5478,50.1221,1
Devon & Cornwall Police,Anti-social behaviour,-5.5475,50.1111,2
Devon & Cornwall Police,Anti-social behaviour,-5.547,50.0964,1
Devon & Cornwall Police,Anti-social behaviour,-5.5469,50.1004,1
Devon & Cornwall Police,Anti-social behaviour,-5.5469,50.1237,3
Devon & Cornwall Police,Anti-social behaviour,-5.5465,50.1286,1
Devon & Cornwall Police,Anti-social behaviour,-5.5463,50.1101,4
Devon & Cornwall Police,Anti-social behaviour,-5.546,50.1012,4
Devon & Cornwall Police,Anti-social behaviour,-5.546,50.1118,2
Devon & Cornwall Police,Anti-social behaviour,-5.5455,50.1012,5
Devon & Cornwall Police,Anti-social behaviour,-5.5452,50.1008,1
Devon & Cornwall Police,Anti-social behaviour,-5.5452,50.1192,1
Devon & Cornwall Police,Anti-social behaviour,-5.5449,50.112,1
Devon & Cornwall Police,Anti-social behaviour,-5.5446,50.1165,1
Devon & Cornwall Police,Anti-social behaviour,-5.5446,50.128,2
Devon & Cornwall Police,Anti-social behaviour,-5.5446,50.1291,6
Devon & Cornwall Police,Anti-social behaviour,-5.544,50.1164,4
Devon & Cornwall Police,Anti-social behaviour,-5.544,50.1219,4
Devon & Cornwall Police,Anti-social behaviour,-5.5438,50.1146,1
Devon & Cornwall Police,Anti-social behaviour,-5.5433,50.1278,1
Devon & Cornwall Police,Anti-social behaviour,-5.5432,50.1286,1
Devon & Cornwall Police,Anti-social behaviour,-5.5431,50.1118,16
Devon & Cornwall Police,Anti-social behaviour,-5.5431,50.123,2
Devon & Cornwall Police,Anti-social behaviour,-5.543,50.1158,4
Devon & Cornwall Police,Anti-social behaviour,-5.5429,50.1201,1
Devon & Cornwall Police,Anti-social behaviour,-5.5428,50.1283,1
Devon & Cornwall Police,Anti-social behaviour,-5.5427,50.1273,4
Devon & Cornwall Police,Anti-social behaviour,-5.5426,50.1184,4
Devon & Cornwall Police,Anti-social behaviour,-5.5425,50.0875,1
Devon & Cornwall Police,Anti-social behaviour,-5.5425,50.1219,1
Devon & Cornwall Police,Anti-social behaviour,-5.5423,50.1983,1
Devon & Cornwall Police,Anti-social behaviour,-5.5422,50.1144,1
Devon & Cornwall Police,Anti-social behaviour,-5.542,50.1118,1
Devon & Cornwall Police,Anti-social behaviour,-5.5418,50.1179,2
Devon & Cornwall Police,Anti-social behaviour,-5.5418,50.119,1
Devon & Cornwall Police,Anti-social behaviour,-5.5417,50.1201,2
Devon & Cornwall Police,Anti-social behaviour,-5.5417,50.1219,1
Devon & Cornwall Police,Anti-social behaviour,-5.5416,50.1138,2
Devon & Cornwall Police,Anti-social behaviour,-5.5415,50.1224,3
Devon & Cornwall Police,Anti-social behaviour,-5.5412,50.1266,1
Devon & Cornwall Police,Anti-social behaviour,-5.5408,50.1261,1
Devon & Cornwall Police,Anti-social behaviour,-5.5403,50.1177,1
Devon & Cornwall Police,Anti-social behaviour,-5.54,50.0835,1
Devon & Cornwall Police,Anti-social behaviour,-5.5399,50.1146,1
Devon & Cornwall Police,Anti-social behaviour,-5.5399,50.1269,2
Devon & Cornwall Police,Anti-social behaviour,-5.5398,50.1285,1
Devon & Cornwall Police,Anti-social behaviour,-5.5396,50.1196,1
Devon & Cornwall Police,Anti-social behaviour,-5.5396,50.1268,1
Devon & Cornwall Police,Anti-social behaviour,-5.5395,50.121,16
Devon & Cornwall Police,Anti-social behaviour,-5.5394,50.0837,2
Devon & Cornwall Police,Anti-social behaviour,-5.5394,50.1179,1
Devon & Cornwall Police,Anti-social behaviour,-5.5393,50.1274,2
Devon & Cornwall Police,Anti-social behaviour,-5.5392,50.1233,1
Devon & Cornwall Police,Anti-social behaviour,-5.539,50.1218,1
Devon & Cornwall Police,Anti-social behaviour,-5.5388,50.1136,1
Devon & Cornwall Police,Anti-social behaviour,-5.5388,50.1173,3
Devon & Cornwall Police,Anti-social behaviour,-5.5387,50.1161,12
Devon & Cornwall Police,Anti-social behaviour,-5.5384,50.1185,4
Devon & Cornwall Police,Anti-social behaviour,-5.5384,50.1196,3
Devon & Cornwall Police,Anti-social behaviour,-5.5384,50.1246,2
Devon & Cornwall Police,Anti-social behaviour,-5.538,50.0922,1
Devon & Cornwall Police,Anti-social behaviour,-5.538,50.1184,9
Devon & Cornwall Police,Anti-social behaviour,-5.5379,50.1211,3
Devon & Cornwall Police,Anti-social behaviour,-5.5379,50.1238,1
Devon & Cornwall Police,Anti-social behaviour,-5.5376,50.1148,1
Devon & Cornwall Police,Anti-social behaviour,-5.5376,50.1176,3
Devon & Cornwall Police,Anti-social behaviour,-5.5371,50.118,7
Devon & Cornwall Police,Anti-social behaviour,-5.5371,50.1192,15
Devon & Cornwall Police,Anti-social behaviour,-5.537,50.1184,19
Devon & Cornwall Police,Anti-social behaviour,-5.537,50.1231,1
Devon & Cornwall Police,Anti-social behaviour,-5.5369,50.118,25
Devon & Cornwall Police,Anti-social behaviour,-5.5363,50.1215,2
Devon & Cornwall Police,Anti-social behaviour,-5.5362,50.1173,1
Devon & Cornwall Police,Anti-social behaviour,-5.5361,50.1182,1
Devon & Cornwall Police,Anti-social behaviour,-5.536,50.1189,59
Devon & Cornwall Police,Anti-social behaviour,-5.536,50.1224,3
Devon & Cornwall Police,Anti-social behaviour,-5.5359,50.1219,3
