Constabulary,Crime type,Longitude,Latitude,Count
Dorset Police,Anti-social behaviour,-2.9561,50.7644,1
Dorset Police,Anti-social behaviour,-2.9498,50.7308,1
Dorset Police,Anti-social behaviour,-2.9465,50.7248,1
Dorset Police,Anti-social behaviour,-2.944,50.7282,2
Dorset Police,Anti-social behaviour,-2.9426,50.72,2
Dorset Police,Anti-social behaviour,-2.9425,50.7238,1
Dorset Police,Anti-social behaviour,-2.9403,50.7615,1
Dorset Police,Anti-social behaviour,-2.9401,50.7226,2
Dorset Police,Anti-social behaviour,-2.9401,50.7244,2
Dorset Police,Anti-social behaviour,-2.9395,50.7208,5
Dorset Police,Anti-social behaviour,-2.9388,50.7302,1
Dorset Police,Anti-social behaviour,-2.9382,50.7284,1
Dorset Police,Anti-social behaviour,-2.9379,50.731,3
Dorset Police,Anti-social behaviour,-2.9378,50.7271,1
Dorset Police,Anti-social behaviour,-2.9376,50.7295,3
Dorset Police,Anti-social behaviour,-2.9373,50.7281,1
Dorset Police,Anti-social behaviour,-2.9372,50.725,2
Dorset Police,Anti-social behaviour,-2.9367,50.7265,1
Dorset Police,Anti-social behaviour,-2.9362,50.7313,1
Dorset Police,Anti-social behaviour,-2.9359,50.7252,6
Dorset Police,Anti-social behaviour,-2.9359,50.7309,1
Dorset Police,Anti-social behaviour,-2.9358,50.7236,5
Dorset Police,Anti-social behaviour,-2.9357,50.7325,1
Dorset Police,Anti-social behaviour,-2.9351,50.7256,1
Dorset Police,Anti-social behaviour,-2.9348,50.7248,1
Dorset Police,Anti-social behaviour,-2.9348,50.7266,1
Dorset Police,Anti-social behaviour,-2.9348,50.7283,1
Dorset Police,Anti-social behaviour,-2.9345,50.7349,1
Dorset Police,Anti-social behaviour,-2.9343,50.7293,2
Dorset Police,Anti-social behaviour,-2.9336,50.7298,1
Dorset Police,Anti-social behaviour,-2.9335,50.7257,2
Dorset Police,Anti-social behaviour,-2.9333,50.7274,1
Dorset Police,Anti-social behaviour,-2.9332,50.7244,1
Dorset Police,Anti-social behaviour,-2.9331,50.7335,2
Dorset Police,Anti-social behaviour,-2.9329,50.7288,2
Dorset Police,Anti-social behaviour,-2.9326,50.7249,3
Dorset Police,Anti-social behaviour,-2.9323,50.7324,1
Dorset Police,Anti-social behaviour,-2.9322,50.7264,1
Dorset Police,Anti-social behaviour,-2.9321,50.8205,1
Dorset Police,Anti-social behaviour,-2.9316,50.7304,1
Dorset Police,Anti-social behaviour,-2.9306,50.7276,1
Dorset Police,Anti-social behaviour,-2.9306,50.7368,1
Dorset Police,Anti-social behaviour,-2.9304,50.7271,2
Dorset Police,Anti-social behaviour,-2.9298,50.7383,1
Dorset Police,Anti-social behaviour,-2.9124,50.7622,2
Dorset Police,Anti-social behaviour,-2.902,50.7352,1
Dorset Police,Anti-social behaviour,-2.9011,50.7392,1
Dorset Police,Anti-social behaviour,-2.9005,50.8183,1
Dorset Police,Anti-social behaviour,-2.8973,50.7386,1
Dorset Police,Anti-social behaviour,-2.8943,50.7451,1
Dorset Police,Anti-social behaviour,-2.8935,50.7801,1
Dorset Police,Anti-social behaviour,-2.8778,50.843,1
Dorset Police,Anti-social behaviour,-2.8679,50.7976,1
Dorset Police,Anti-social behaviour,-2.8448,50.7398,1
Dorset Police,Anti-social behaviour,-2.8281,50.842,1
Dorset Police,Anti-social behaviour,-2.825,50.842,1
Dorset Police,Anti-social behaviour,-2.822,50.7313,1
Dorset Police,Anti-social behaviour,-2.8204,50.7327,1
Dorset Police,Anti-social behaviour,-2.7941,50.8191,1
Dorset Police,Anti-social behaviour,-2.7859,50.7401,1
Dorset Police,Anti-social behaviour,-2.7848,50.8063,1
Dorset Police,Anti-social behaviour,-2.782,50.7211,3
Dorset Police,Anti-social behaviour,-2.7779,50.8418,1
Dorset Police,Anti-social behaviour,-2.7735,50.7683,1
Dorset Police,Anti-social behaviour,-2.7734,50.8403,1
Dorset Police,Anti-social behaviour,-2.7722,50.7665,3
Dorset Police,Anti-social behaviour,-2.7721,50.8451,2
Dorset Police,Anti-social behaviour,-2.7697,50.7341,1
Dorset Police,Anti-social behaviour,-2.7674,50.7125,1
Dorset Police,Anti-social behaviour,-2.7671,50.7407,2
Dorset Police,Anti-social behaviour,-2.767,50.7398,1
Dorset Police,Anti-social behaviour,-2.7664,50.7299,1
Dorset Police,Anti-social behaviour,-2.7663,50.7111,2
Dorset Police,Anti-social behaviour,-2.7662,50.7112,2
Dorset Police,Anti-social behaviour,-2.7651,50.712,2
Dorset Police,Anti-social behaviour,-2.7651,50.7295,1
Dorset Police,Anti-social behaviour,-2.7651,50.7396,3
Dorset Police,Anti-social behaviour,-2.7649,50.7315,1
Dorset Police,Anti-social behaviour,-2.7648,50.7407,1
Dorset Police,Anti-social behaviour,-2.7647,50.7382,1
Dorset Police,Anti-social behaviour,-2.7646,50.7355,18
Dorset Police,Anti-social behaviour,-2.7643,50.7107,1
Dorset Police,Anti-social behaviour,-2.7639,50.7116,2
Dorset Police,Anti-social behaviour,-2.7638,50.7267,1
Dorset Police,Anti-social behaviour,-2.7638,50.7309,4
Dorset Police,Anti-social behaviour,-2.7638,50.7369,3
Dorset Police,Anti-social behaviour,-2.7637,50.7298,2
Dorset Police,Anti-social behaviour,-2.7635,50.7293,1
Dorset Police,Anti-social behaviour,-2.7633,50.7335,1
Dorset Police,Anti-social behaviour,-2.7633,50.7343,3
Dorset Police,Anti-social behaviour,-2.7633,50.7392,1
Dorset Police,Anti-social behaviour,-2.763,50.7331,2
Dorset Police,Anti-social behaviour,-2.7624,50.7337,2
Dorset Police,Anti-social behaviour,-2.7617,50.7106,1
Dorset Police,Anti-social behaviour,-2.7616,50.7118,1
Dorset Police,Anti-social behaviour,-2.7614,50.7329,2
Dorset Police,Anti-social behaviour,-2.7613,50.7333,5
Dorset Police,Anti-social behaviour,-2.7608,50.734,2
Dorset Police,Anti-social behaviour,-2.7607,50.7402,5
Dorset Police,Anti-social behaviour,-2.7606,50.7316,1
Dorset Police,Anti-social behaviour,-2.7605,50.7336,1
Dorset Police,Anti-social behaviour,-2.7604,50.7392,2
Dorset Police,Anti-social behaviour,-2.7596,50.7347,1
Dorset Police,Anti-social behaviour,-2.7595,50.7322,12
Dorset Police,Anti-social behaviour,-2.7594,50.7288,3
Dorset Police,Anti-social behaviour,-2.7591,50.7291,1
Dorset Police,Anti-social behaviour,-2.7588,50.7108,8
Dorset Police,Anti-social behaviour,-2.7588,50.7295,4
Dorset Police,Anti-social behaviour,-2.7588,50.7414,1
Dorset Police,Anti-social behaviour,-2.7579,50.7124,3
Dorset Police,Anti-social behaviour,-2.7579,50.73,1
Dorset Police,Anti-social behaviour,-2.7579,50.7418,1
Dorset Police,Anti-social behaviour,-2.7578,50.7198,1
Dorset Police,Anti-social behaviour,-2.7575,50.7338,33
Dorset Police,Anti-social behaviour,-2.7572,50.7288,1
Dorset Police,Anti-social behaviour,-2.7569,50.7151,2
Dorset Police,Anti-social behaviour,-2.7565,50.7324,2
Dorset Police,Anti-social behaviour,-2.7564,50.7249,1
Dorset Police,Anti-social behaviour,-2.7562,50.7262,4
Dorset Police,Anti-social behaviour,-2.7553,50.7166,1
Dorset Police,Anti-social behaviour,-2.755,50.7332,4
Dorset Police,Anti-social behaviour,-2.7549,50.7338,1
Dorset Police,Anti-social behaviour,-2.7548,50.7327,12
Dorset Police,Anti-social behaviour,-2.7548,50.7337,1
Dorset Police,Anti-social behaviour,-2.7544,50.7153,2
Dorset Police,Anti-social behaviour,-2.7543,50.7313,1
Dorset Police,Anti-social behaviour,-2.7543,50.734,1
Dorset Police,Anti-social behaviour,-2.7542,50.7926,3
Dorset Police,Anti-social behaviour,-2.7536,50.7231,1
Dorset Police,Anti-social behaviour,-2.7534,50.7339,3
Dorset Police,Anti-social behaviour,-2.7532,50.7246,1
Dorset Police,Anti-social behaviour,-2.7521,50.747,2
Dorset Police,Anti-social behaviour,-2.7521,50.7482,1
Dorset Police,Anti-social behaviour,-2.7508,50.7351,1
