Constabulary,Crime type,Longitude,Latitude,Count
Hampshire Constabulary,Anti-social behaviour,-1.8312,50.9354,1
Hampshire Constabulary,Anti-social behaviour,-1.813,50.9654,1
Hampshire Constabulary,Anti-social behaviour,-1.8129,50.9008,1
Hampshire Constabulary,Anti-social behaviour,-1.7989,50.9407,1
Hampshire Constabulary,Anti-social behaviour,-1.7987,50.9323,4
Hampshire Constabulary,Anti-social behaviour,-1.7984,50.94,3
Hampshire Constabulary,Anti-social behaviour,-1.7975,50.846,1
Hampshire Constabulary,Anti-social behaviour,-1.7975,50.9272,1
Hampshire Constabulary,Anti-social behaviour,-1.797,50.9266,2
Hampshire Constabulary,Anti-social behaviour,-1.7965,50.9223,1
Hampshire Constabulary,Anti-social behaviour,-1.7965,50.9239,1
Hampshire Constabulary,Anti-social behaviour,-1.7954,50.9267,2
Hampshire Constabulary,Anti-social behaviour,-1.7946,50.8468,2
Hampshire Constabulary,Anti-social behaviour,-1.7943,50.8469,3
Hampshire Constabulary,Anti-social behaviour,-1.7934,50.8433,1
Hampshire Constabulary,Anti-social behaviour,-1.7933,50.9256,1
Hampshire Constabulary,Anti-social behaviour,-1.7933,50.9366,1
Hampshire Constabulary,Anti-social behaviour,-1.793,50.9298,1
Hampshire Constabulary,Anti-social behaviour,-1.793,50.9353,1
Hampshire Constabulary,Anti-social behaviour,-1.793,50.9389,1
Hampshire Constabulary,Anti-social behaviour,-1.7927,50.8453,1
Hampshire Constabulary,Anti-social behaviour,-1.7925,50.9276,3
Hampshire Constabulary,Anti-social behaviour,-1.7925,50.9363,2
Hampshire Constabulary,Anti-social behaviour,-1.7924,50.8462,1
Hampshire Constabulary,Anti-social behaviour,-1.7922,50.9328,1
Hampshire Constabulary,Anti-social behaviour,-1.792,50.8241,1
Hampshire Constabulary,Anti-social behaviour,-1.7918,50.8468,8
Hampshire Constabulary,Anti-social behaviour,-1.7917,50.8477,1
Hampshire Constabulary,Anti-social behaviour,-1.7917,50.9271,8
Hampshire Constabulary,Anti-social behaviour,-1.7913,50.8452,5
Hampshire Constabulary,Anti-social behaviour,-1.7912,50.8433,1
Hampshire Constabulary,Anti-social behaviour,-1.791,50.9271,2
Hampshire Constabulary,Anti-social behaviour,-1.791,50.9289,1
Hampshire Constabulary,Anti-social behaviour,-1.7908,50.9295,3
Hampshire Constabulary,Anti-social behaviour,-1.7908,50.9363,3
Hampshire Constabulary,Anti-social behaviour,-1.7906,50.936,2
Hampshire Constabulary,Anti-social behaviour,-1.7904,50.8471,5
Hampshire Constabulary,Anti-social behaviour,-1.7903,50.8482,1
Hampshire Constabulary,Anti-social behaviour,-1.7903,50.9276,6
Hampshire Constabulary,Anti-social behaviour,-1.79,50.9648,1
Hampshire Constabulary,Anti-social behaviour,-1.7897,50.8443,1
Hampshire Constabulary,Anti-social behaviour,-1.7894,50.8451,3
Hampshire Constabulary,Anti-social behaviour,-1.7894,50.9282,6
Hampshire Constabulary,Anti-social behaviour,-1.7893,50.9277,1
Hampshire Constabulary,Anti-social behaviour,-1.7892,50.9273,1
Hampshire Constabulary,Anti-social behaviour,-1.7889,50.9289,3
Hampshire Constabulary,Anti-social behaviour,-1.7884,50.8592,1
Hampshire Constabulary,Anti-social behaviour,-1.7882,50.927,7
Hampshire Constabulary,Anti-social behaviour,-1.7881,50.8485,7
Hampshire Constabulary,Anti-social behaviour,-1.7875,50.9364,3
Hampshire Constabulary,Anti-social behaviour,-1.7873,50.93,1
Hampshire Constabulary,Anti-social behaviour,-1.7871,50.8478,7
Hampshire Constabulary,Anti-social behaviour,-1.7868,50.8283,2
Hampshire Constabulary,Anti-social behaviour,-1.7866,50.8454,1
Hampshire Constabulary,Anti-social behaviour,-1.7864,50.8516,9
Hampshire Constabulary,Anti-social behaviour,-1.7862,50.935,1
Hampshire Constabulary,Anti-social behaviour,-1.7852,50.8411,1
Hampshire Constabulary,Anti-social behaviour,-1.785,50.8427,1
