Constabulary,Crime type,Longitude,Latitude,Count
Hertfordshire Constabulary,Anti-social behaviour,-0.7053,51.8259,1
Hertfordshire Constabulary,Anti-social behaviour,-0.7049,51.8334,2
Hertfordshire Constabulary,Anti-social behaviour,-0.7013,51.833,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6999,51.8314,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6986,51.8035,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6975,51.8322,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6886,51.8175,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6875,51.7929,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6816,51.7911,4
Hertfordshire Constabulary,Anti-social behaviour,-0.6813,51.7941,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6812,51.7936,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6804,51.7938,4
Hertfordshire Constabulary,Anti-social behaviour,-0.6783,51.7934,1
Hertfordshire Constabulary,Anti-social behaviour,-0.677,51.7928,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6769,51.7907,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6759,51.7951,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6744,51.7845,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6732,51.7895,1
Hertfordshire Constabulary,Anti-social behaviour,-0.673,51.7926,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6728,51.7939,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6723,51.7988,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6689,51.7911,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6684,51.793,7
Hertfordshire Constabulary,Anti-social behaviour,-0.6683,51.7914,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6681,51.801,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6672,51.8177,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6658,51.7977,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6656,51.7911,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6654,51.8015,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6649,51.7948,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6642,51.7934,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6642,51.7988,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6636,51.7975,7
Hertfordshire Constabulary,Anti-social behaviour,-0.6633,51.798,5
Hertfordshire Constabulary,Anti-social behaviour,-0.6631,51.7911,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6629,51.7938,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6627,51.7946,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6626,51.7934,4
Hertfordshire Constabulary,Anti-social behaviour,-0.6625,51.7931,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6625,51.7963,4
Hertfordshire Constabulary,Anti-social behaviour,-0.6624,51.7944,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6618,51.7944,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6617,51.8045,4
Hertfordshire Constabulary,Anti-social behaviour,-0.6616,51.7936,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6614,51.7915,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6613,51.7875,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6613,51.7987,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6612,51.7942,12
Hertfordshire Constabulary,Anti-social behaviour,-0.661,51.8012,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6605,51.8016,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6603,51.8067,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6601,51.8076,2
Hertfordshire Constabulary,Anti-social behaviour,-0.66,51.7961,10
Hertfordshire Constabulary,Anti-social behaviour,-0.6599,51.8007,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6598,51.804,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6597,51.8059,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6596,51.7929,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6595,51.7944,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6591,51.8014,3
Hertfordshire Constabulary,Anti-social behaviour,-0.659,51.8066,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6587,51.8079,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6582,51.7955,7
Hertfordshire Constabulary,Anti-social behaviour,-0.6581,51.8037,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6579,51.8048,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6577,51.8009,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6574,51.8037,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6573,51.7994,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6571,51.7953,4
Hertfordshire Constabulary,Anti-social behaviour,-0.6564,51.7944,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6505,51.7983,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6488,51.8129,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6479,51.8025,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6473,51.8139,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6465,51.7859,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6459,51.8004,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6437,52.0357,2
Hertfordshire Constabulary,Anti-social behaviour,-0.6416,51.7816,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6304,51.813,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6244,51.8009,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6209,51.7883,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6204,51.7702,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6155,51.7827,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6148,51.7612,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6119,51.7834,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6034,51.7759,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6026,51.799,1
Hertfordshire Constabulary,Anti-social behaviour,-0.6024,51.8012,3
Hertfordshire Constabulary,Anti-social behaviour,-0.6014,51.8038,5
Hertfordshire Constabulary,Anti-social behaviour,-0.5963,51.7625,1
Hertfordshire Constabulary,Anti-social behaviour,-0.5959,51.767,1
Hertfordshire Constabulary,Anti-social behaviour,-0.5938,51.7705,3
Hertfordshire Constabulary,Anti-social behaviour,-0.5931,51.7723,4
Hertfordshire Constabulary,Anti-social behaviour,-0.5928,51.7723,1
Hertfordshire Constabulary,Anti-social behaviour,-0.5917,51.7611,7
Hertfordshire Constabulary,Anti-social behaviour,-0.5908,51.7688,1
Hertfordshire Constabulary,Anti-social behaviour,-0.5908,51.7713,2
Hertfordshire Constabulary,Anti-social behaviour,-0.5905,51.7703,2
Hertfordshire Constabulary,Anti-social behaviour,-0.5899,51.7684,3
Hertfordshire Constabulary,Anti-social behaviour,-0.5898,51.758,1
Hertfordshire Constabulary,Anti-social behaviour,-0.5896,51.76,1
Hertfordshire Constabulary,Anti-social behaviour,-0.5891,51.7596,2
Hertfordshire Constabulary,Anti-social behaviour,-0.5881,51.7672,2
Hertfordshire Constabulary,Anti-social behaviour,-0.5872,51.7671,1
Hertfordshire Constabulary,Anti-social behaviour,-0.5872,51.7708,2
Hertfordshire Constabulary,Anti-social behaviour,-0.5865,51.7673,7
Hertfordshire Constabulary,Anti-social behaviour,-0.5864,51.7694,1
