Constabulary,Crime type,Longitude,Latitude,Count
Nottinghamshire Police,Anti-social behaviour,-1.5009,53.4441,1
Nottinghamshire Police,Anti-social behaviour,-1.4241,53.229,1
Nottinghamshire Police,Anti-social behaviour,-1.3739,53.0822,1
Nottinghamshire Police,Anti-social behaviour,-1.3692,53.0732,1
Nottinghamshire Police,Anti-social behaviour,-1.3607,53.0744,1
Nottinghamshire Police,Anti-social behaviour,-1.3546,53.0041,1
Nottinghamshire Police,Anti-social behaviour,-1.3524,53.0599,1
Nottinghamshire Police,Anti-social behaviour,-1.3408,53.0614,1
Nottinghamshire Police,Anti-social behaviour,-1.3387,53.0615,8
Nottinghamshire Police,Anti-social behaviour,-1.337,53.0602,4
Nottinghamshire Police,Anti-social behaviour,-1.3369,53.0592,4
Nottinghamshire Police,Anti-social behaviour,-1.3364,53.0611,1
Nottinghamshire Police,Anti-social behaviour,-1.336,53.0575,1
Nottinghamshire Police,Anti-social behaviour,-1.3353,53.0116,1
Nottinghamshire Police,Anti-social behaviour,-1.3351,53.0599,1
Nottinghamshire Police,Anti-social behaviour,-1.3344,53.0565,2
Nottinghamshire Police,Anti-social behaviour,-1.3342,53.0587,5
Nottinghamshire Police,Anti-social behaviour,-1.3339,53.0577,1
Nottinghamshire Police,Anti-social behaviour,-1.3337,53.0607,2
Nottinghamshire Police,Anti-social behaviour,-1.3314,53.1365,1
Nottinghamshire Police,Anti-social behaviour,-1.3304,53.0609,1
Nottinghamshire Police,Anti-social behaviour,-1.3297,53.0624,1
Nottinghamshire Police,Anti-social behaviour,-1.3294,53.054,3
Nottinghamshire Police,Anti-social behaviour,-1.3274,53.0631,1
Nottinghamshire Police,Anti-social behaviour,-1.3261,53.0597,1
Nottinghamshire Police,Anti-social behaviour,-1.3215,53.0704,3
Nottinghamshire Police,Anti-social behaviour,-1.3214,53.072,1
Nottinghamshire Police,Anti-social behaviour,-1.3194,53.0629,1
Nottinghamshire Police,Anti-social behaviour,-1.3181,53.0708,2
Nottinghamshire Police,Anti-social behaviour,-1.3178,53.0185,2
Nottinghamshire Police,Anti-social behaviour,-1.3173,53.0353,1
Nottinghamshire Police,Anti-social behaviour,-1.3172,53.0168,1
Nottinghamshire Police,Anti-social behaviour,-1.3172,53.0471,4
Nottinghamshire Police,Anti-social behaviour,-1.3165,53.0352,2
Nottinghamshire Police,Anti-social behaviour,-1.3163,53.072,2
Nottinghamshire Police,Anti-social behaviour,-1.3161,53.0443,1
Nottinghamshire Police,Anti-social behaviour,-1.3161,53.0737,1
Nottinghamshire Police,Anti-social behaviour,-1.3154,53.072,1
Nottinghamshire Police,Anti-social behaviour,-1.3153,53.0437,2
Nottinghamshire Police,Anti-social behaviour,-1.3152,53.0183,1
Nottinghamshire Police,Anti-social behaviour,-1.3152,53.0739,3
Nottinghamshire Police,Anti-social behaviour,-1.3151,52.9738,2
Nottinghamshire Police,Anti-social behaviour,-1.3151,52.987,1
Nottinghamshire Police,Anti-social behaviour,-1.315,53.0169,1
Nottinghamshire Police,Anti-social behaviour,-1.3149,53.0357,4
Nottinghamshire Police,Anti-social behaviour,-1.3149,53.0722,6
Nottinghamshire Police,Anti-social behaviour,-1.3149,53.1094,1
Nottinghamshire Police,Anti-social behaviour,-1.3148,53.0107,5
Nottinghamshire Police,Anti-social behaviour,-1.3143,53.0363,1
Nottinghamshire Police,Anti-social behaviour,-1.3142,53.0429,1
Nottinghamshire Police,Anti-social behaviour,-1.3141,53.0183,1
Nottinghamshire Police,Anti-social behaviour,-1.3141,53.0476,2
Nottinghamshire Police,Anti-social behaviour,-1.314,53.0738,2
Nottinghamshire Police,Anti-social behaviour,-1.3136,53.0936,1
Nottinghamshire Police,Anti-social behaviour,-1.3129,53.1326,1
Nottinghamshire Police,Anti-social behaviour,-1.3128,53.0374,1
Nottinghamshire Police,Anti-social behaviour,-1.3128,53.0438,7
Nottinghamshire Police,Anti-social behaviour,-1.3128,53.1333,4
Nottinghamshire Police,Anti-social behaviour,-1.3127,53.0159,2
Nottinghamshire Police,Anti-social behaviour,-1.3124,53.0143,1
Nottinghamshire Police,Anti-social behaviour,-1.3122,53.0708,1
Nottinghamshire Police,Anti-social behaviour,-1.3119,53.041,2
Nottinghamshire Police,Anti-social behaviour,-1.3116,53.0103,1
Nottinghamshire Police,Anti-social behaviour,-1.3111,53.0122,10
Nottinghamshire Police,Anti-social behaviour,-1.3109,53.0097,1
Nottinghamshire Police,Anti-social behaviour,-1.3105,53.0397,5
Nottinghamshire Police,Anti-social behaviour,-1.3104,53.0103,2
