Constabulary,Crime type,Longitude,Latitude,Count
South Wales Police,Anti-social behaviour,-4.2548,51.6185,1
South Wales Police,Anti-social behaviour,-4.2524,51.5641,1
South Wales Police,Anti-social behaviour,-4.2474,51.5983,1
South Wales Police,Anti-social behaviour,-4.2405,51.6078,2
South Wales Police,Anti-social behaviour,-4.1879,51.587,1
South Wales Police,Anti-social behaviour,-4.172,51.556,1
South Wales Police,Anti-social behaviour,-4.1718,51.6072,2
South Wales Police,Anti-social behaviour,-4.1709,51.6102,1
South Wales Police,Anti-social behaviour,-4.1684,51.6059,5
South Wales Police,Anti-social behaviour,-4.1639,51.5576,1
South Wales Police,Anti-social behaviour,-4.1614,51.6115,1
South Wales Police,Anti-social behaviour,-4.157,51.6188,1
South Wales Police,Anti-social behaviour,-4.1394,51.5767,1
South Wales Police,Anti-social behaviour,-4.1376,51.6017,2
South Wales Police,Anti-social behaviour,-4.1348,51.6371,1
South Wales Police,Anti-social behaviour,-4.1327,51.6368,1
South Wales Police,Anti-social behaviour,-4.1263,51.6318,2
South Wales Police,Anti-social behaviour,-4.1209,51.6034,1
South Wales Police,Anti-social behaviour,-4.1157,51.6428,1
South Wales Police,Anti-social behaviour,-4.1116,51.6417,1
South Wales Police,Anti-social behaviour,-4.1046,51.6414,1
South Wales Police,Anti-social behaviour,-4.1017,51.6423,1
South Wales Police,Anti-social behaviour,-4.1011,51.6419,1
South Wales Police,Anti-social behaviour,-4.1002,51.6411,1
South Wales Police,Anti-social behaviour,-4.0996,51.6409,1
South Wales Police,Anti-social behaviour,-4.0881,51.5686,1
South Wales Police,Anti-social behaviour,-4.0866,51.6037,1
South Wales Police,Anti-social behaviour,-4.078,51.6621,2
South Wales Police,Anti-social behaviour,-4.0759,51.6613,1
South Wales Police,Anti-social behaviour,-4.073,51.6282,2
South Wales Police,Anti-social behaviour,-4.0714,51.6625,1
South Wales Police,Anti-social behaviour,-4.07,51.6295,4
South Wales Police,Anti-social behaviour,-4.0694,51.6664,1
South Wales Police,Anti-social behaviour,-4.0693,51.6633,4
South Wales Police,Anti-social behaviour,-4.0683,51.6634,1
South Wales Police,Anti-social behaviour,-4.0679,51.6253,1
South Wales Police,Anti-social behaviour,-4.0677,51.6621,1
South Wales Police,Anti-social behaviour,-4.0669,51.6626,1
South Wales Police,Anti-social behaviour,-4.0662,51.6679,1
South Wales Police,Anti-social behaviour,-4.066,51.5905,1
South Wales Police,Anti-social behaviour,-4.0657,51.6668,5
South Wales Police,Anti-social behaviour,-4.0649,51.6478,1
South Wales Police,Anti-social behaviour,-4.0645,51.6607,2
South Wales Police,Anti-social behaviour,-4.0645,51.6703,1
South Wales Police,Anti-social behaviour,-4.0617,51.6647,2
South Wales Police,Anti-social behaviour,-4.0615,51.6638,1
South Wales Police,Anti-social behaviour,-4.0613,51.5824,1
South Wales Police,Anti-social behaviour,-4.0612,51.666,3
South Wales Police,Anti-social behaviour,-4.0598,51.6628,2
South Wales Police,Anti-social behaviour,-4.0595,51.5839,1
South Wales Police,Anti-social behaviour,-4.0579,51.6736,1
South Wales Police,Anti-social behaviour,-4.0572,51.6627,2
South Wales Police,Anti-social behaviour,-4.057,51.6619,2
South Wales Police,Anti-social behaviour,-4.0566,51.677,2
South Wales Police,Anti-social behaviour,-4.0548,51.6771,3
South Wales Police,Anti-social behaviour,-4.0542,51.6644,2
South Wales Police,Anti-social behaviour,-4.0539,51.6765,2
South Wales Police,Anti-social behaviour,-4.0534,51.6786,1
South Wales Police,Anti-social behaviour,-4.0525,51.6631,1
South Wales Police,Anti-social behaviour,-4.0523,51.6742,1
South Wales Police,Anti-social behaviour,-4.0522,51.6475,1
South Wales Police,Anti-social behaviour,-4.0522,51.675,1
South Wales Police,Anti-social behaviour,-4.0515,51.6406,1
South Wales Police,Anti-social behaviour,-4.0515,51.677,4
South Wales Police,Anti-social behaviour,-4.0515,51.6775,5
